,RID,aspects,original,sentences
0,1,0,"
Stayed in the hotel for 10 days..awesome experience..excellent food and great ambience..rooms and room service are great..i really liked the place..
",stayed hotel 10 days..awesome experience..excellent food great ambience..rooms room service great..i really liked place..
1,2,0,"
hospitality is remakable, service is good,food served is fresh,menu price is not too high and the quantity is more than sufficient.
","hospitality remakable , service good , food served fresh , menu price high quantity sufficient ."
2,3,0,"
If you have work in East Delhi then it is a very good hotel at reasonable tariff.",work east delhi good hotel reasonable tariff .
3,3,0,"Even you can easily organise family parties as well.
",even easily organise family parties well .
4,4,0,"
Stayed here over a night last year.",stayed night last year .
5,4,0,Decent hotel with all basic amenities available.,decent hotel basic amenities available .
6,4,0,The rooms were surprisingly bigger than expected.,rooms surprisingly bigger expected .
7,4,0,"Good bed, bathroom, & nice view available.","good bed , bathroom , & nice view available ."
8,4,0,Cons about the room are the carpets which were very old and dirty.,cons room carpets old dirty .
9,4,0,"The hotel is a brand now, so you can expect a fair crowd all the time.","hotel brand , expect fair crowd time ."
10,4,0,"The buffet dinner&Bf were good; could improve a bit on the sweeter side of menu.Another annoying thing i had was waiting for fresh juice, we had to stand in queue; as there machine was primitive.Nothing much happening outside,its kind of in middle of nowhere.","buffet dinner & bf good ; could improve bit sweeter side menu.another annoying thing waiting fresh juice , stand queue ; machine primitive.nothing much happening outside , kind middle nowhere ."
11,4,0,The hotel has a pool side bar/restaurant.,hotel pool side bar/restaurant .
12,4,0,"All in all a nice hotel,would recommend it for sure.
","nice hotel , would recommend sure ."
13,5,0,"
I stayed at this hotel this Saturday with my wife.",stayed hotel saturday wife .
14,5,0,"Upon reaching the hotel, the receptionist told me that the room allotment would take time since the guests were about to check out.","upon reaching hotel , receptionist told room allotment would take time since guests check ."
15,5,0,On my request they allotted me a room as fast as they could.,request allotted room fast could .
16,5,0,"The room was very nice, big and had all the facilities.","room nice , big facilities ."
17,5,0,It was very clean and tidy.,clean tidy .
18,5,0,In fact it was one of the best rooms I have stayed at that price.,fact one best rooms stayed price .
19,5,0,"The hotel has a lot of eating options like Tatva which is their a la carte restaurant, 64/6 which is a buffet restaurant, Cafe J for those coffee and pastry cravings, and Kebab Factory.","hotel lot eating options like tatva la carte restaurant , 64/6 buffet restaurant , cafe j coffee pastry cravings , kebab factory ."
